Key,comment,ja-jp,en-us,zh-cn,zh-tw,ko-kr,es-es,ar-sa,
EnableDcOffsetRemovalTooltip,DCオフセット除去有効ツールチップ,音声信号に含まれる直流成分（DCオフセット）を除去します。不要なノイズや歪みを防ぎます。,Removes the direct current component (DC offset) from the audio signal. Prevents unwanted noise and distortion.,消除音频信号中的直流分量（DC偏移）。防止不必要的噪音和失真。,消除音訊信號中的直流分量（DC偏移）。防止不必要的噪音和失真。,오디오 신호에 포함된 직류 성분(DC 오프셋)을 제거합니다. 불필요한 노이즈나 왜곡을 방지합니다.,Elimina el componente de corriente continua (desplazamiento DC) de la señal de audio. Previene ruidos y distorsiones no deseadas.,يزيل مكون التيار المستمر (إزاحة التيار المستمر) من إشارة الصوت. يمنع الضوضاء والتشويه غير المرغوب فيه.,
InstrumentTabHeader,インストゥルメントタブ ヘッダー,インストゥルメント,Instruments,乐器,樂器,악기,Instrumentos,الآلات,
InstrumentTabTooltip,インストゥルメントタブ ツールチップ,MIDIのプログラム番号に応じた音色の設定を行います。,Configure timbre settings according to MIDI program numbers.,根据MIDI程序编号配置音色设置。,根據MIDI程式編號設定音色。,MIDI 프로그램 번호에 따른 음색 설정을 합니다.,Configura los ajustes de timbre según los números de programa MIDI.,تكوين إعدادات الجرس وفقًا لأرقام برنامج MIDI.,
InstrumentPresetTabHeader,インストゥルメントプリセットタブ ヘッダー,プリセット,Preset,预设,預設,프리셋,Preajuste,إعداد مسبق,
InstrumentPresetTabTooltip,インストゥルメントプリセットタブ ツールチップ,MIDIプログラム番号の範囲に対して、音色の設定を割り当てます。,Assign timbre settings to a range of MIDI program numbers.,为MIDI程序编号范围分配音色设置。,為MIDI程式編號範圍分配音色設定。,MIDI 프로그램 번호 범위에 음색 설정을 할당합니다.,Asigna configuraciones de timbre a un rango de números de programa MIDI.,تعيين إعدادات الجرس لنطاق من أرقام برنامج MIDI.,
AddButton,追加ボタン,追加,Add,添加,新增,추가,Añadir,إضافة,
DeleteButton,削除ボタン,削除,Delete,删除,刪除,삭제,Eliminar,حذف,
AddInstrumentPresetTooltip,インストゥルメントプリセット追加 ツールチップ,新しいインストゥルメントプリセットを追加します。,Adds a new instrument preset.,添加新的乐器预设。,新增樂器預設。,새 악기 프리셋을 추가합니다.,Añade un nuevo preajuste de instrumento.,يضيف إعداد مسبق جديد للآلة.,
RemoveInstrumentPresetTooltip,インストゥルメントプリセット削除 ツールチップ,選択したプリセットを削除します。,Deletes the selected preset.,删除所选预设。,刪除所選預設。,선택한 프리셋을 삭제합니다.,Elimina el preajuste seleccionado.,يحذف الإعداد المسبق المحدد.,
HeaderName,ヘッダー 名前,名前,Name,名称,名稱,이름,Nombre,الاسم,
HeaderStart,ヘッダー 開始,開始,Start,开始,開始,시작,Inicio,البداية,
HeaderEnd,ヘッダー 終了,終了,End,结束,結束,종료,Fin,النهاية,
HeaderWaveform,ヘッダー 波形,波形,Waveform,波形,波形,파형,Forma de onda,الشكل الموجي,
HeaderAttack,ヘッダー アタック,アタック,Attack,起音,起音,어택,Ataque,الهجوم,
HeaderDecay,ヘッダー ディケイ,ディケイ,Decay,衰减,衰減,디케이,Decaimiento,الاضمحلال,
HeaderSustain,ヘッダー サステイン,サステイン,Sustain,持续,持續,서스테인,Sostenido,الاستدامة,
HeaderRelease,ヘッダー リリース,リリース,Release,释放,釋放,릴리스,Liberación,التحرير,
HeaderVolume,ヘッダー 音量,音量,Volume,音量,音量,볼륨,Volumen,مستوى الصوت,
HeaderFilter,ヘッダー フィルター,フィルター,Filter,滤波器,濾波器,필터,Filtro,المرشح,
HeaderCutoff,ヘッダー カットオフ,カットオフ,Cutoff,截止,截止,컷오프,Corte,القطع,
HeaderResonance,ヘッダー レゾナンス,レゾナンス,Resonance,共振,共振,레조넌스,Resonancia,الرنين,
HeaderFilterLfo,ヘッダー Filter LFO,Filter LFO,Filter LFO,滤波器LFO,濾波器LFO,필터 LFO,Filtro LFO,مرشح LFO,
HeaderFLfoRate,ヘッダー F-LFO Rate,F-LFO Rate,F-LFO Rate,F-LFO 速率,F-LFO 速率,F-LFO Rate,Tasa F-LFO,معدل F-LFO,
HeaderFLfoDepth,ヘッダー F-LFO Depth,F-LFO Depth,F-LFO Depth,F-LFO 深度,F-LFO 深度,F-LFO Depth,Prof. F-LFO,عمق F-LFO,
InstrumentCustomTabHeader,インストゥルメントカスタムタブ ヘッダー,カスタム,Custom,自定义,自訂,커스텀,Personalizado,مخصص,
InstrumentCustomTabTooltip,インストゥルメントカスタムタブ ツールチップ,特定のMIDIプログラム番号に対して、個別の音色設定を割り当てます。パーカッションチャンネル（10）の場合は-1として設定します。,Assign individual timbre settings to specific MIDI program numbers. Set to -1 for percussion channel (10).,为特定的MIDI程序编号分配单独的音色设置。打击乐通道（10）请设置为-1。,為特定的MIDI程式編號分配單獨的音色設定。打擊樂通道（10）請設定為-1。,특정 MIDI 프로그램 번호에 개별 음색 설정을 할당합니다. 퍼커션 채널(10)의 경우 -1로 설정합니다.,Asigna configuraciones de timbre individuales a números de programa MIDI específicos. Establece -1 para el canal de percusión (10).,تعيين إعدادات جرس فردية لأرقام برنامج MIDI محددة. اضبط على -1 لقناة الإيقاع (10).,
AddCustomInstrumentTooltip,カスタムインストゥルメント追加 ツールチップ,新しいカスタムインストゥルメントを追加します。,Adds a new custom instrument.,添加新的自定义乐器。,新增自訂樂器。,새 커스텀 악기를 추가합니다.,Añade un nuevo instrumento personalizado.,يضيف آلة مخصصة جديدة.,
RemoveCustomInstrumentTooltip,カスタムインストゥルメント削除 ツールチップ,選択したカスタムインストゥルメントを削除します。,Deletes the selected custom instrument.,删除所选的自定义乐器。,刪除所選的自訂樂器。,선택한 커스텀 악기를 삭제합니다.,Elimina el instrumento personalizado seleccionado.,يحذف الآلة المخصصة المحددة.,
HeaderProgram,ヘッダー プログラム,プログラム,Program,程序,程式,프로그램,Programa,البرنامج,
HeaderWavetableFile,ヘッダー Wavetableファイル,Wavetableファイル,Wavetable File,Wavetable 文件,Wavetable 檔案,Wavetable 파일,Archivo Wavetable,ملف Wavetable,
HeaderFLfoWaveform,ヘッダー F-LFO波形,F-LFO波形,F-LFO Wave,F-LFO 波形,F-LFO 波形,F-LFO 파형,Onda F-LFO,موجة F-LFO,
HeaderPLfoWaveform,ヘッダー P-LFO波形,P-LFO波形,P-LFO Wave,P-LFO 波形,P-LFO 波形,P-LFO 파형,Onda P-LFO,موجة P-LFO,
HeaderPLfoRate,ヘッダー P-LFO Rate,P-LFO Rate,P-LFO Rate,P-LFO 速率,P-LFO 速率,P-LFO Rate,Tasa P-LFO,معدل P-LFO,
HeaderPLfoDepth,ヘッダー P-LFO Depth,P-LFO Depth,P-LFO Depth,P-LFO 深度,P-LFO 深度,P-LFO Depth,Prof. P-LFO,عمق P-LFO,
HeaderALfoWaveform,ヘッダー A-LFO波形,A-LFO波形,A-LFO Wave,A-LFO 波形,A-LFO 波形,A-LFO 파형,Onda A-LFO,موجة A-LFO,
HeaderALfoRate,ヘッダー A-LFO Rate,A-LFO Rate,A-LFO Rate,A-LFO 速率,A-LFO 速率,A-LFO Rate,Tasa A-LFO,معدل A-LFO,
HeaderALfoDepth,ヘッダー A-LFO Depth,A-LFO Depth,A-LFO Depth,A-LFO 深度,A-LFO 深度,A-LFO Depth,Prof. A-LFO,عمق A-LFO,
DebugTabHeader,デバッグタブ ヘッダー,デバッグ,Debug,调试,偵錯,디버그,Depuración,تصحيح الأخطاء,
DebugTabTooltip,デバッグタブ ツールチップ,問題が発生した際の調査に役立つデバッグ用の設定です。,Settings for debugging to help investigate issues.,用于调试以帮助调查问题的设置。,用於偵錯以協助調查問題的設定。,문제가 발생했을 때 조사를 돕는 디버그 설정입니다.,Configuración de depuración para ayudar a investigar problemas.,إعدادات لتصحيح الأخطاء للمساعدة في التحقيق في المشكلات.,
LoggingGroupHeader,ロギング グループヘッダー,ロギング,Logging,日志记录,日誌記錄,로깅,Registro,التسجيل,
EnableLoggingCheckbox,ログ有効化 チェックボックス,ログを有効にする,Enable Logging,启用日志,啟用日誌,로깅 활성화,Habilitar Registro,تمكين التسجيل,
EnableLoggingTooltip,ログ有効化 ツールチップ,プラグインの動作ログをファイルに出力します。問題が発生した際の原因調査に役立ちます。,Outputs plugin operation logs to a file. Useful for investigating issues.,将插件操作日志输出到文件。有助于调查问题。,將外掛程式操作日誌輸出到檔案。有助於調查問題。,플러그인 동작 로그를 파일로 출력합니다. 문제 발생 시 원인 조사에 도움이 됩니다.,Exporta los registros de operación del complemento a un archivo. Útil para investigar problemas.,إخراج سجلات تشغيل المكون الإضافي إلى ملف. مفيد للتحقيق في المشكلات.,
VerboseLoggingCheckbox,詳細ログ有効化 チェックボックス,詳細ログを有効にする,Enable Verbose Logging,启用详细日志,啟用詳細日誌,상세 로깅 활성화,Habilitar Registro Detallado,تمكين التسجيل المطول,
VerboseLoggingTooltip,詳細ログ有効化 ツールチップ,より詳細なログを出力します。,Outputs more detailed logs.,输出更详细的日志。,輸出更詳細的日誌。,더 자세한 로그를 출력합니다.,Genera registros más detallados.,إخراج سجلات أكثر تفصيلاً.,
LogFilePathLabel,ログファイルパス ラベル,ログファイルパス,Log File Path,日志文件路径,日誌檔案路徑,로그 파일 경로,Ruta Archivo de Registro,مسار ملف السجل,
LogFilePathTooltip,ログファイルパス ツールチップ,ログファイルの出力先パスを指定します。,Specify the output path for the log file.,指定日志文件的输出路径。,指定日誌檔案的輸出路徑。,로그 파일의 출력 경로를 지정합니다.,Especifique la ruta de salida para el archivo de registro.,تحديد مسار الإخراج لملف السجل.,
MaxLogSizeLabel,最大ログサイズ ラベル,最大ログサイズ (KB),Max Log Size (KB),最大日志大小 (KB),最大日誌大小 (KB),최대 로그 크기 (KB),Tamaño Máx. Registro (KB),أقصى حجم للسجل (KB),
MaxLogSizeTooltip,最大ログサイズ ツールチップ,ログファイルの最大サイズをKB単位で指定します。これを超えると古いログから削除されます。,Specify the maximum log file size in KB. Older logs are deleted when this limit is exceeded.,指定日志文件的最大大小（KB）。超过此限制将删除旧日志。,指定日誌檔案的最大大小（KB）。超過此限制將刪除舊日誌。,로그 파일의 최대 크기를 KB 단위로 지정합니다. 이 한도를 초과하면 오래된 로그부터 삭제됩니다.,Especifique el tamaño máximo del archivo de registro en KB. Los registros antiguos se eliminan cuando se supera este límite.,تحديد الحد الأقصى لحجم ملف السجل بالكيلوبايت. يتم حذف السجلات القديمة عند تجاوز هذا الحد.,
LogLevelLabel,ログレベル ラベル,ログレベル,Log Level,日志级别,日誌級別,로그 레벨,Nivel de Registro,مستوى السجل,
LogLevelTooltip,ログレベル ツールチップ,出力するログの詳細度を設定します。1(エラーのみ)から5(全て)の範囲で設定します。,Set the detail level of the logs to output. Set in the range 1 (errors only) to 5 (all).,设置要输出的日志的详细级别。范围从1（仅错误）到5（全部）。,設定要輸出的日誌的詳細級別。範圍從1（僅錯誤）到5（全部）。,출력할 로그의 상세 수준을 설정합니다. 1(오류만)에서 5(모두) 범위 내에서 설정합니다.,Establece el nivel de detalle de los registros a generar. Rango de 1 (solo errores) a 5 (todo).,تعيين مستوى تفاصيل السجلات للإخراج. النطاق من 1 (الأخطاء فقط) إلى 5 (الكل).,
LogViewerHeader,ログビューア ヘッダー,ログビューア,Log Viewer,日志查看器,日誌檢視器,로그 뷰어,Visor de Registros,عارض السجل,
ClearLogButton,ログクリア ボタン,クリア,Clear,清除,清除,지우기,Limpiar,مسح,
ApiIntegrationGroupHeader,API連携 グループヘッダー,API連携,API Integration,API 集成,API 整合,API 연동,Integración API,تكامل API,
EnableNamedPipeApiCheckbox,名前付きパイプAPI有効化 チェックボックス,名前付きパイプAPIを有効にする (外部連携用),Enable Named Pipe API (for external integration),启用命名管道 API (用于外部集成),啟用命名管道 API (用於外部整合),명명된 파이프 API 활성화 (외부 연동용),Habilitar API de Tubería Nombrada (para integración externa),تمكين API الأنابيب المسماة (للتكامل الخارجي),
EnableNamedPipeApiTooltip,名前付きパイプAPI有効化 ツールチップ,有効にすると、外部アプリケーションからプラグインの機能にアクセスできるようになります。変更後はYMM4の再起動が必要です。,When enabled, external applications can access plugin features. Requires YMM4 restart after change.,启用后，外部应用程序可以访问插件功能。更改后需要重启YMM4。,啟用後，外部應用程式可以存取外掛程式功能。更改後需要重啟YMM4。,활성화하면 외부 애플리케이션에서 플러그인 기능에 액세스할 수 있습니다. 변경 후 YMM4를 다시 시작해야 합니다.,Cuando está habilitado, las aplicaciones externas pueden acceder a las funciones del complemento. Requiere reiniciar YMM4 después del cambio.,عند التمكين، يمكن للتطبيقات الخارجية الوصول إلى ميزات المكون الإضافي. يتطلب إعادة تشغيل YMM4 بعد التغيير.,
ExperimentalFeaturesGroupHeader,試験機能 グループヘッダー,試験機能,Experimental Features,实验性功能,實驗性功能,실험적 기능,Funciones Experimentales,ميزات تجريبية,
ShowMidiInfoWindowCheckbox,MIDI情報ウィンドウ表示 チェックボックス,MIDIファイル追加時に内部情報ウィンドウを表示する,Show MIDI info window when adding MIDI file,添加MIDI文件时显示MIDI信息窗口,新增MIDI檔案時顯示MIDI資訊視窗,MIDI 파일 추가 시 MIDI 정보 창 표시,Mostrar ventana de información MIDI al añadir archivo MIDI,إظهار نافذة معلومات MIDI عند إضافة ملف MIDI,
ShowMidiInfoWindowTooltip,MIDI情報ウィンドウ表示 ツールチップ,有効な場合、MIDIファイルのタイムライン追加時に、そのファイルのMIDI内部情報を表示するウィンドウが自動的に開きます。デバッグや詳細な情報確認に役立ちます。,If enabled, a window displaying internal MIDI information for the file will automatically open when adding a MIDI file to the timeline. Useful for debugging and detailed confirmation.,如果启用，在将MIDI文件添加到时间轴时，将自动打开一个显示该文件内部MIDI信息的窗口。有助于调试和详细信息确认。,如果啟用，在將MIDI檔案新增到時間軸時，將自動開啟一個顯示該檔案內部MIDI資訊的視窗。有助於偵錯和詳細資訊確認。,활성화된 경우 MIDI 파일을 타임라인에 추가할 때 해당 파일의 내부 MIDI 정보를 표시하는 창이 자동으로 열립니다. 디버깅 및 상세 정보 확인에 유용합니다。,Si está habilitado, se abrirá automáticamente una ventana que muestra la información MIDI interna del archivo al añadir un archivo MIDI a la línea de tiempo. Útil para depuración y confirmación detallada.,إذا تم تمكينه، ستُفتح نافذة تعرض معلومات MIDI الداخلية للملف تلقائيًا عند إضافة ملف MIDI إلى المخطط الزمني. مفيد لتصحيح الأخطاء والتأكيد التفصيلي.,
OpenMidiEditorCheckbox,MIDIエディタ自動起動 チェックボックス,MIDIファイル追加時にMIDIエディターを開く,Open MIDI editor when adding MIDI file,添加MIDI文件时打开MIDI编辑器,新增MIDI檔案時開啟MIDI編輯器,MIDI 파일 추가 시 MIDI 편집기 열기,Abrir editor MIDI al añadir archivo MIDI,فتح محرر MIDI عند إضافة ملف MIDI,
OpenMidiEditorTooltip,MIDIエディタ自動起動 ツールチップ,有効な場合、MIDIファイルのタイムライン追加時に、MIDIエディターウィンドウが自動的に開きます。,If enabled, the MIDI editor window will automatically open when adding a MIDI file to the timeline.,如果启用，在将MIDI文件添加到时间轴时，MIDI编辑器窗口将自动打开。,如果啟用，在將MIDI檔案新增到時間軸時，MIDI編輯器視窗將自動開啟。,활성화된 경우 MIDI 파일을 타임라인에 추가할 때 MIDI 편집기 창이 자동으로 열립니다.,Si está habilitado, la ventana del editor MIDI se abrirá automáticamente al añadir un archivo MIDI a la línea de tiempo.,إذا تم تمكينه، ستُفتح نافذة محرر MIDI تلقائيًا عند إضافة ملف MIDI إلى المخطط الزمني.,
ShowReleaseNotesTooltip,リリースノートボタン ツールチップ,リリースノートを表示します。,Show release notes.,显示发行说明。,顯示發行說明。,릴리스 노트를 봅니다.,Mostrar notas de la versión.,إظهار ملاحظات الإصدار.,
OpenPluginDirectoryTooltip,プラグインフォルダを開くボタン ツールチップ,プラグインのフォルダを開きます。,Open the plugins folder.,打开插件文件夹。,開啟外掛程式資料夾。,플러그인 폴더를 엽니다.,Abrir la carpeta de complementos.,افتح مجلد الإضافات.,
RefreshFilesTooltip,ファイルリスト更新ボタン ツールチップ,SFZとSoundFontのファイルリストを更新します。,Update the SFZ and SoundFont file lists.,更新SFZ和SoundFont文件列表。,更新SFZ和SoundFont檔案清單。,SFZ 및 SoundFont 파일 목록을 새로 고칩니다.,Actualizar las listas de archivos SFZ y SoundFont.,تحديث قوائم ملفات SFZ و SoundFont.,
ReloadConfigTooltip,設定再読み込みボタン ツールチップ,現在の設定をファイルから再読み込みします。変更が保存されていない場合は破棄されます。,Reloads the current settings from the file. Unsaved changes will be discarded.,从文件重新加载当前设置。未保存的更改将被丢弃。,從檔案重新載入目前設定。未儲存的變更將被捨棄。,파일에서 현재 설정을 다시 로드합니다. 저장되지 않은 변경 사항은 삭제됩니다.,Recarga la configuración actual desde el archivo. Los cambios no guardados se descartarán.,إعادة تحميل الإعدادات الحالية من الملف. سيتم تجاهل التغييرات غير المحفوظة.,
Key_VersionChecking,バージョン情報取得中,バージョン情報を取得中...,Getting version information...,正在获取版本信息...,正在取得版本資訊...,버전 정보를 가져오는 중...,Obteniendo información de la versión...,جارٍ الحصول على معلومات الإصدار...,
Key_VersionCurrent,現在のバージョン,現在のバージョン: {0},Current Version: {0},当前版本: {0},目前版本: {0},현재 버전: {0},Versión Actual: {0},{الإصدار الحالي: {0,
Key_VersionNewAvailable,バージョン番号,新しいバージョンが利用可能です: {0},New version available: {0},新版本可用: {0},新版本可用: {0},새 버전 사용 가능: {0},Nueva versión disponible: {0},{يتوفر إصدار جديد: {0,
Key_VersionUpToDate,最新バージョンです,お使いのバージョンは最新です。,Your version is up to date.,您的版本已是最新。,您的版本已是最新。,현재 사용 중인 버전이 최신입니다.,Su versión está actualizada.,إصدارك محدّث.,
Key_VersionCheckFailed,更新情報を取得できませんでした,更新情報を取得できませんでした。,Could not retrieve update information.,无法获取更新信息。,無法取得更新資訊。,업데이트 정보를 가져올 수 없습니다.,No se pudo recuperar la información de actualización.,تعذر استرداد معلومات التحديث.,
MidiWriterHeader,MIDI書き出し設定ヘッダー,MIDI変換設定,MIDI Conversion Settings,MIDI Conversion Settings,MIDI Conversion Settings,MIDI Conversion Settings,MIDI Conversion Settings,MIDI Conversion Settings,
MidiWriterQuantizeLabel,クオンタイズ分解能 ラベル,クオンタイズ分解能,Quantize Resolution,Quantize Resolution,Quantize Resolution,Quantize Resolution,Quantize Resolution,Quantize Resolution,
MidiWriterQuantizeTooltip,クオンタイズ分解能 ツールチップ,"MIDIイベントのタイミングをどの音価に合わせるか。Noneで無効化。","Which note value to align MIDI event timing to. 'None' disables quantization.","Which note value to align MIDI event timing to. 'None' disables quantization.","Which note value to align MIDI event timing to. 'None' disables quantization.","Which note value to align MIDI event timing to. 'None' disables quantization.","Which note value to align MIDI event timing to. 'None' disables quantization.","Which note value to align MIDI event timing to. 'None' disables quantization.",
MidiWriterPitchAlgoLabel,ピッチ検出アルゴリズム ラベル,ピッチ検出アルゴリズム,Pitch Detection Algorithm,Pitch Detection Algorithm,Pitch Detection Algorithm,Pitch Detection Algorithm,Pitch Detection Algorithm,Pitch Detection Algorithm,
MidiWriterPitchAlgoTooltip,ピッチ検出アルゴリズム ツールチップ,"音声からピッチ（音高）を検出する方法。YINはより正確ですが処理時間が長くなります。","Method to detect pitch from audio. YIN is more accurate but takes longer to process.","Method to detect pitch from audio. YIN is more accurate but takes longer to process.","Method to detect pitch from audio. YIN is more accurate but takes longer to process.","Method to detect pitch from audio. YIN is more accurate but takes longer to process.","Method to detect pitch from audio. YIN is more accurate but takes longer to process.","Method to detect pitch from audio. YIN is more accurate but takes longer to process.",
MidiWriterPitchSensitivityLabel,ピッチ検出感度 ラベル,ピッチ検出感度,Pitch Sensitivity,Pitch Sensitivity,Pitch Sensitivity,Pitch Sensitivity,Pitch Sensitivity,Pitch Sensitivity,
MidiWriterPitchSensitivityTooltip,ピッチ検出感度 ツールチップ,"ピッチの安定性をどの程度要求するか。値を高くするとより多くのノートを検出します。(0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)","How much pitch stability is required. Higher values detect more notes. (0.0-1.0)",
MidiWriterFftSizeLabel,FFTサイズ ラベル,FFTサイズ,FFT Size,FFT Size,FFT Size,FFT Size,FFT Size,FFT Size,
MidiWriterFftSizeTooltip,FFTサイズ ツールチップ,"周波数解析に使用するサンプル数。大きいほど周波数分解能が上がりますが、時間分解能が下がります。","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.","Number of samples for frequency analysis. Larger values increase frequency resolution but decrease time resolution.",
MidiWriterMinNoteDurationLabel,最小ノート長 ラベル,"最小ノート長 (ms)",Min Note Duration (ms),Min Note Duration (ms),Min Note Duration (ms),Min Note Duration (ms),Min Note Duration (ms),Min Note Duration (ms),
MidiWriterMinNoteDurationTooltip,最小ノート長 ツールチップ,"検出されるMIDIノートの最小の長さ（ミリ秒）。短すぎるノートを除外します。","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.","Minimum length (ms) of detected MIDI notes. Excludes notes that are too short.",
MidiWriterVelocitySensitivityLabel,ベロシティ感度 ラベル,ベロシティ感度,Velocity Sensitivity,Velocity Sensitivity,Velocity Sensitivity,Velocity Sensitivity,Velocity Sensitivity,Velocity Sensitivity,
MidiWriterVelocitySensitivityTooltip,ベロシティ感度 ツールチップ,"音量の変化をMIDIベロシティに反映する度合い。高いほど音量変化が強調されます。(0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)","Degree to which volume changes are reflected in MIDI velocity. Higher values emphasize volume changes. (0.0-1.0)",
MidiWriterNotesHeader,注意事項 ヘッダー,注意事項,Notes,Notes,Notes,Notes,Notes,Notes,
MidiWriterNote1,注意事項1,"• この機能は実験的なものです。精度は音声の内容や設定に大きく依存します。","• This feature is experimental. Accuracy depends heavily on the audio content and settings.","• This feature is experimental. Accuracy depends heavily on the audio content and settings.","• This feature is experimental. Accuracy depends heavily on the audio content and settings.","• This feature is experimental. Accuracy depends heavily on the audio content and settings.","• This feature is experimental. Accuracy depends heavily on the audio content and settings.","• This feature is experimental. Accuracy depends heavily on the audio content and settings.",
MidiWriterNote2,注意事項2,"• 単音の楽器や声の方が、和音や複雑な音源よりも正確に変換されます。","• Monophonic instruments or voices are converted more accurately than chords or complex sources.","• Monophonic instruments or voices are converted more accurately than chords or complex sources.","• Monophonic instruments or voices are converted more accurately than chords or complex sources.","• Monophonic instruments or voices are converted more accurately than chords or complex sources.","• Monophonic instruments or voices are converted more accurately than chords or complex sources.","• Monophonic instruments or voices are converted more accurately than chords or complex sources.",
MidiWriterNote3,注意事項3,"• 処理時間は音声の長さとFFTサイズに比例して増加します。","• Processing time increases proportionally to the audio length and FFT size.","• Processing time increases proportionally to the audio length and FFT size.","• Processing time increases proportionally to the audio length and FFT size.","• Processing time increases proportionally to the audio length and FFT size.","• Processing time increases proportionally to the audio length and FFT size.","• Processing time increases proportionally to the audio length and FFT size.",
MidiWriterConfigLoadError,設定読み込みエラー,"設定画面の読み込みに失敗しました: {0}",Failed to load configuration view: {0},Failed to load configuration view: {0},Failed to load configuration view: {0},Failed to load configuration view: {0},Failed to load configuration view: {0},Failed to load configuration view: {0},
UtauModelName,UTAUモデル名,UTAU音源,UTAU Voice,UTAU Voice,UTAU Voice,UTAU Voice,UTAU Voice,UTAU Voice,
NewUtauModelName,新規UTAUモデル名,新規UTAUモデル,New UTAU Model,New UTAU Model,New UTAU Model,New UTAU Model,New UTAU Model,New UTAU Model,
DefaultUtauModelName,デフォルトUTAUモデル名,デフォルトUTAU,Default UTAU,Default UTAU,Default UTAU,Default UTAU,Default UTAU,Default UTAU,
UtauSettings,UTAU設定,UTAU音源設定,UTAU Settings,UTAU Settings,UTAU Settings,UTAU Settings,UTAU Settings,UTAU Settings,
AddUtauFolder,UTAUフォルダ追加,UTAU音源フォルダを追加,Add UTAU Voice Folder,Add UTAU Voice Folder,Add UTAU Voice Folder,Add UTAU Voice Folder,Add UTAU Voice Folder,Add UTAU Voice Folder,
RemoveUtauFolder,UTAUフォルダ削除,選択したフォルダを削除,Remove Selected Folder,Remove Selected Folder,Remove Selected Folder,Remove Selected Folder,Remove Selected Folder,Remove Selected Folder,
UtauVoiceBaseFolders,UTAU音源ベースフォルダ,UTAU音源ベースフォルダ,UTAU Voice Base Folders,UTAU Voice Base Folders,UTAU Voice Base Folders,UTAU Voice Base Folders,UTAU Voice Base Folders,UTAU Voice Base Folders,
SelectUtauFolderTitle,UTAUフォルダ選択タイトル,UTAU音源が格納されているフォルダを選択してください,Select the folder containing UTAU voices,Select the folder containing UTAU voices,Select the folder containing UTAU voices,Select the folder containing UTAU voices,Select the folder containing UTAU voices,Select the folder containing UTAU voices,
RefreshUtauVoices,UTAU音源更新,UTAU音源リストを更新,Refresh UTAU Voice List,Refresh UTAU Voice List,Refresh UTAU Voice List,Refresh UTAU Voice List,Refresh UTAU Voice List,Refresh UTAU Voice List,
NewSFModelName,新規SFモデル名,新規SFモデル,New SF Model,New SF Model,New SF Model,New SF Model,New SF Model,New SF Model,
NewSynthModelName,新規Synthモデル名,新規Synthモデル,New Synth Model,New Synth Model,New Synth Model,New Synth Model,New Synth Model,New Synth Model,
Loading,読み込み中,読み込み中...,Loading...,加载中...,載入中...,로드 중...,Cargando...,جار التحميل...,
DistributedProcessingGroupHeader,分散処理グループヘッダー,分散処理,Distributed Processing,分布式处理,分散式處理,분산 처리,Procesamiento Distribuido,المعالجة الموزعة,
EnableDistributedProcessing,分散処理有効化,分散処理を有効にする,Enable Distributed Processing,启用分布式处理,啟用分散式處理,분산 처리 활성화,Habilitar Procesamiento Distribuido,تمكين المعالجة الموزعة,
DistributedRole,分散処理ロール,ロール,Role,角色,角色,역할,Rol,الدور,
DistributedDiscoveryPort,探索ポート,探索ポート,Discovery Port,发现端口,探索連接埠,검색 포트,Puerto de Descubrimiento,منفذ الاكتشاف,
DistributedDataPort,データポート,データポート,Data Port,数据端口,資料連接埠,데이터 포트,Puerto de Datos,منفذ البيانات,
DistributedMulticast,マルチキャストアドレス,マルチキャストアドレス,Multicast Address,组播地址,多播位址,멀티캐스트 주소,Dirección Multicast,عنوان البث المتعدد,
DistributedInterface,ネットワークインターフェース,インターフェースIP,Interface IP,接口IP,介面IP,인터페이스 IP,IP de Interfaz,IP الواجهة,
DistributedChunkSize,チャンクサイズ,チャンクサイズ(Frames),Chunk Size (Frames),块大小 (帧),區塊大小 (幀),청크 크기 (프레임),Tamaño de Fragmento (Cuadros),حجم القطعة (إطارات),
